category,name,brand,price,stock_quantity,attributes,image_url,description,currency
RAM,RAM Model 331 Rev-86,Kingston,8651.25,87,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ram_model_331_rev-86.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
CPU,CPU Model 362 Rev-21,Intel,66866.95,22,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/cpu_model_362_rev-21.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
Motherboard,Motherboard Model 694 Rev-24,NVIDIA,24213.76,15,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/motherboard_model_694_rev-24.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
GPU,GPU Model 447 Rev-36,NVIDIA,161504.13,75,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/gpu_model_447_rev-36.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
CPU,CPU Model 903 Rev-76,Gigabyte,35606.73,85,{'speed': '3200MHz'},https://example.com/cpu_model_903_rev-76.jpg,A high-performance processor suitable for gaming and content creation.,BDT
RAM,RAM Model 607 Rev-98,Patriot,9132.65,48,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_607_rev-98.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
HDD,HDD Model 203 Rev-86,Patriot,14245.43,72,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/hdd_model_203_rev-86.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
Motherboard,Motherboard Model 819 Rev-86,AMD,51865.26,50,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/motherboard_model_819_rev-86.jpg,A high-performance processor suitable for gaming and content creation.,BDT
SSD,SSD Model 253 Rev-37,Kingston,77259.04,42,{'speed': '3200MHz'},https://example.com/ssd_model_253_rev-37.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
PSU,PSU Model 294 Rev-43,Gigabyte,29105.91,98,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/psu_model_294_rev-43.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
PSU,PSU Model 184 Rev-57,NVIDIA,31474.82,46,{'speed': '3200MHz'},https://example.com/psu_model_184_rev-57.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
PSU,PSU Model 831 Rev-66,Kingston,26219.5,59,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/psu_model_831_rev-66.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
PSU,PSU Model 845 Rev-16,Kingston,31089.72,18,{'speed': '3200MHz'},https://example.com/psu_model_845_rev-16.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
CPU,CPU Model 570 Rev-94,Patriot,15658.93,96,"{'type': 'HDD', 'interface': 'SATA'}",https://example.com/cpu_model_570_rev-94.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
SSD,SSD Model 778 Rev-18,Gigabyte,44836.82,62,{'speed': '3200MHz'},https://example.com/ssd_model_778_rev-18.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
HDD,HDD Model 166 Rev-83,NVIDIA,44418.5,26,{'socket': 'LGA1700'},https://example.com/hdd_model_166_rev-83.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
PSU,PSU Model 445 Rev-92,NVIDIA,33439.79,57,{'speed': '3200MHz'},https://example.com/psu_model_445_rev-92.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
PSU,PSU Model 914 Rev-90,Gigabyte,20646.36,75,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/psu_model_914_rev-90.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
RAM,RAM Model 762 Rev-15,Patriot,7677.87,73,{'socket': 'LGA1700'},https://example.com/ram_model_762_rev-15.jpg,A powerful GPU capable of handling demanding gaming and AI workloads.,BDT
SSD,SSD Model 999 Rev-52,Patriot,73793.61,92,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/ssd_model_999_rev-52.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
HDD,HDD Model 439 Rev-8,Intel,17559.35,36,{'speed': '3200MHz'},https://example.com/hdd_model_439_rev-8.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
Case,Case Model 944 Rev-13,Seagate,43411.31,86,"{'memory': '6GB', 'type': 'GDDR6'}",https://example.com/case_model_944_rev-13.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
SSD,SSD Model 590 Rev-90,Corsair,93718.12,33,{'socket': 'LGA1700'},https://example.com/ssd_model_590_rev-90.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
HDD,HDD Model 231 Rev-47,Kingston,26080.07,47,{'socket': 'LGA1700'},https://example.com/hdd_model_231_rev-47.jpg,An SSD offering fast read/write speeds and durable performance.,BDT
CPU,CPU Model 930 Rev-9,NVIDIA,14686.67,33,"{'type': 'SSD', 'interface': 'NVMe'}",https://example.com/cpu_model_930_rev-9.jpg,Fast and efficient RAM for smooth multitasking and gaming.,BDT
RAM,RAM Model 639 Rev-40,Intel,24332.66,30,"{'cores': 6, 'threads': 12, 'base_clock': '3.2GHz'}",https://example.com/ram_model_639_rev-40.jpg,A high-capacity HDD ideal for storing large amounts of data.,BDT
PSU,PSU Model 744 Rev-8,Patriot,29943.29,11,{'socket': 'LGA1700'},https://example.com/psu_model_744_rev-8.jpg,A reliable motherboard designed for overclocking and heavy usage.,BDT
